%time,field.x,field.y,field.z
1668719010623511552,-111.0,-111.0,-111.0
1668719010657598733,0.03213852984806172,0.5851614116746676,0.036597565478934266
1668719010692560672,-111.0,-111.0,-111.0
1668719010725864171,-111.0,-111.0,-111.0
1668719010758867263,0.028879129594102257,0.5900440819889089,0.03661337229485798
1668719010791987419,0.0321561731022348,0.5845192309916974,0.038538732044110735
1668719010823945283,0.025712337459772167,0.5876969283156159,0.0325023547206133
1668719010857933759,-111.0,-111.0,-111.0
1668719010892961263,-111.0,-111.0,-111.0
1668719010925936937,0.031324233408040913,0.5831577675841353,0.03655911776045343
1668719010960735321,0.031304431645128854,0.5837998033955814,0.034615403848378926
1668719010993421077,0.02654909468920665,0.5890588192992081,0.034487871002914
1668719011025479078,0.026569346315680142,0.5884164492258759,0.03643076772480117
1668719011058680295,0.03213852984806172,0.5851614116746676,0.036597565478934266
1668719011090844869,-111.0,-111.0,-111.0
1668719011123142004,0.026088934757175303,0.5919937264622158,0.035560232206129805
1668719011158242464,0.02885806115968188,0.5906864704739895,0.03467077874770865
1668719011190135240,0.029344018876019583,0.5871098302763892,0.035542772697701265
1668719011221874475,-111.0,-111.0,-111.0
1668719011257010221,-111.0,-111.0,-111.0
1668719011288511276,-111.0,-111.0,-111.0
1668719011320866584,-111.0,-111.0,-111.0
1668719011353311538,-111.0,-111.0,-111.0
1668719011387823104,-111.0,-111.0,-111.0
1668719011420688152,-111.0,-111.0,-111.0
1668719011452942132,-111.0,-111.0,-111.0
1668719011487633466,-111.0,-111.0,-111.0
1668719011519626140,-111.0,-111.0,-111.0
1668719011553490161,-111.0,-111.0,-111.0
1668719011586386680,-111.0,-111.0,-111.0
1668719011619163274,-111.0,-111.0,-111.0
1668719011654140472,-111.0,-111.0,-111.0
1668719011686915636,-111.0,-111.0,-111.0
1668719011723186016,-111.0,-111.0,-111.0
1668719011754286527,-111.0,-111.0,-111.0
1668719011788627862,-111.0,-111.0,-111.0
1668719011811193943,-111.0,-111.0,-111.0
1668719011834598302,-111.0,-111.0,-111.0
1668719011858749628,-111.0,-111.0,-111.0
1668719011883611917,-111.0,-111.0,-111.0
1668719011907444953,-111.0,-111.0,-111.0
1668719011930362701,-111.0,-111.0,-111.0
1668719011953366518,-111.0,-111.0,-111.0
1668719011976312637,-111.0,-111.0,-111.0
1668719012000221014,-111.0,-111.0,-111.0
1668719012023397922,-111.0,-111.0,-111.0
1668719012048149347,-111.0,-111.0,-111.0
1668719012073023080,-111.0,-111.0,-111.0
1668719012097247123,-111.0,-111.0,-111.0
1668719012122904777,-111.0,-111.0,-111.0
1668719012148746490,-111.0,-111.0,-111.0
1668719012175047397,-111.0,-111.0,-111.0
1668719012200309514,-111.0,-111.0,-111.0
1668719012226328849,-111.0,-111.0,-111.0
1668719012251932859,-111.0,-111.0,-111.0
1668719012277393341,-111.0,-111.0,-111.0
1668719012302770137,-111.0,-111.0,-111.0
1668719012328048706,-111.0,-111.0,-111.0
1668719012353003025,-111.0,-111.0,-111.0
1668719012379092931,-111.0,-111.0,-111.0
1668719012404130458,-111.0,-111.0,-111.0
1668719012429589509,-111.0,-111.0,-111.0
1668719012454962015,-111.0,-111.0,-111.0
1668719012479412794,-111.0,-111.0,-111.0
1668719012505499124,-111.0,-111.0,-111.0
1668719012530415296,-111.0,-111.0,-111.0
1668719012556607007,-111.0,-111.0,-111.0
1668719012581468820,-111.0,-111.0,-111.0
1668719012606577157,-111.0,-111.0,-111.0
1668719012632534265,-111.0,-111.0,-111.0
1668719012659048795,0.11938562628627403,0.5744682928082676,0.007530030115269474
1668719012684122800,0.1339290785179807,0.5642850797893764,0.0018648828339362911
1668719012709245681,0.1512902563866453,0.5879263292834757,0.02121360564987817
1668719012735352277,0.17159798645372284,0.5932186081479974,0.022361835333787137
1668719012760887145,0.18276182124786916,0.5966984218307657,0.024956681423383822
1668719012785580873,0.20491037417864894,0.5996926244760109,0.02375451344278342
1668719012811731815,0.21621062355529805,0.5989394032976567,0.023486586065451707
